			Mihee	Mihee
rap	pT	cent	prompt	non-prompt
0.0-0.4	6.5-30.0	0.0-100.0	0.529387	0.550484
0.0-1.2	6.5-30.0	0.0-100.0	0.531483	0.549912
0.0-2.4	10.0-13.0	0.0-100.0	0.59542	0.576731
0.0-2.4	10.0-30.0	0.0-100.0	0.614662	0.599099
0.0-2.4	11.0-13.0	0.0-100.0	0.604599	0.593088
0.0-2.4	13.0-16.0	0.0-100.0	0.646232	0.625224
0.0-2.4	13.0-30.0	0.0-100.0	0.652645	0.630444
0.0-2.4	16.0-30.0	0.0-100.0	0.662937	0.637052
0.0-2.4	6.5-30.0	0.0-100.0	0.475893	0.489769
0.0-2.4	6.5-7.5	0.0-100.0	0.34967	0.344037
0.0-2.4	6.5-8.0	0.0-100.0	0.372086	0.361867
0.0-2.4	7.5-8.5	0.0-100.0	0.443481	0.42117
0.0-2.4	8.0-10.0	0.0-100.0	0.504167	0.486099
0.0-2.4	8.5-9.5	0.0-100.0	0.513866	0.493146
0.0-2.4	9.5-11.0	0.0-100.0	0.571249	0.545782
0.4-0.8	6.5-30.0	0.0-100.0	0.562112	0.573658
0.8-1.2	6.5-30.0	0.0-100.0	0.510615	0.530327
1.2-1.6	6.5-30.0	0.0-100.0	0.457547	0.459094
1.6-2.0	6.5-30.0	0.0-100.0	0.450724	0.445929
1.6-2.4	3.0-30.0	0.0-100.0	0.305479	0.330846
1.6-2.4	3.0-4.5	0.0-100.0	0.209534	0.205818
1.6-2.4	3.0-5.5	0.0-100.0	0.240817	0.241034
1.6-2.4	3.0-6.5	0.0-100.0	0.263713	0.26741
1.6-2.4	4.5-5.5	0.0-100.0	0.293299	0.287135
1.6-2.4	5.5-6.5	0.0-100.0	0.349617	0.33649
1.6-2.4	6.5-30.0	0.0-100.0	0.421669	0.416542
2.0-2.4	6.5-30.0	0.0-100.0	0.358364	0.347627
