	Mihee	Mihee		
rap	pT	cent	prompt	non-prompt
0.0-0.4	6.5-30.0	0.0-100.0	0.494045	0.381962
0.0-1.2	6.5-30.0	0.0-10.0	0.467213	0.36878
0.0-1.2	6.5-30.0	0.0-100.0	0.486507	0.378122
0.0-1.2	6.5-30.0	10.0-20.0	0.501951	0.378741
0.0-1.2	6.5-30.0	20.0-30.0	0.495611	0.388386
0.0-1.2	6.5-30.0	30.0-40.0	0.50667	0.391054
0.0-1.2	6.5-30.0	40.0-50.0	0.504058	0.392825
0.0-1.2	6.5-30.0	50.0-100.0	0.511925	0.400598
0.0-2.4	10.0-13.0	0.0-100.0	0.569603	0.403422
0.0-2.4	10.0-30.0	0.0-100.0	0.597728	0.420485
0.0-2.4	11.0-13.0	0.0-100.0	0.592792	0.419904
0.0-2.4	13.0-16.0	0.0-100.0	0.645188	0.445391
0.0-2.4	13.0-30.0	0.0-100.0	0.652815	0.44758
0.0-2.4	16.0-30.0	0.0-100.0	0.665529	0.450666
0.0-2.4	6.5-30.0	0.0-10.0	0.400355	0.309936
0.0-2.4	6.5-30.0	0.0-100.0	0.424168	0.327618
0.0-2.4	6.5-30.0	0.0-5.0	0.389679	0.302471
0.0-2.4	6.5-30.0	10.0-15.0	0.431955	0.331918
0.0-2.4	6.5-30.0	10.0-20.0	0.435278	0.333538
0.0-2.4	6.5-30.0	15.0-20.0	0.439405	0.335543
0.0-2.4	6.5-30.0	20.0-25.0	0.438962	0.345644
0.0-2.4	6.5-30.0	20.0-30.0	0.438356	0.341621
0.0-2.4	6.5-30.0	25.0-30.0	0.437493	0.335811
0.0-2.4	6.5-30.0	30.0-35.0	0.459269	0.34376
0.0-2.4	6.5-30.0	30.0-40.0	0.45644	0.348907
0.0-2.4	6.5-30.0	35.0-40.0	0.452726	0.355735
0.0-2.4	6.5-30.0	40.0-45.0	0.453978	0.360968
0.0-2.4	6.5-30.0	40.0-50.0	0.458261	0.358229
0.0-2.4	6.5-30.0	45.0-50.0	0.464381	0.354331
0.0-2.4	6.5-30.0	5.0-10.0	0.417928	0.322679
0.0-2.4	6.5-30.0	50.0-100.0	0.465974	0.361998
0.0-2.4	6.5-30.0	50.0-55.0	0.452349	0.358064
0.0-2.4	6.5-30.0	50.0-60.0	0.458002	0.357782
0.0-2.4	6.5-30.0	55.0-60.0	0.465827	0.357406
0.0-2.4	6.5-30.0	60.0-100.0	0.475877	0.36713
0.0-2.4	6.5-30.0	60.0-70.0	0.476733	0.360621
0.0-2.4	6.5-30.0	70.0-100.0	0.474642	0.376591
0.0-2.4	6.5-7.5	0.0-100.0	0.283393	0.212692
0.0-2.4	6.5-8.0	0.0-100.0	0.300992	0.229416
0.0-2.4	7.5-8.5	0.0-100.0	0.362717	0.270362
0.0-2.4	8.0-10.0	0.0-100.0	0.442248	0.321547
0.0-2.4	8.5-9.5	0.0-100.0	0.452601	0.326346
0.0-2.4	9.5-11.0	0.0-100.0	0.53361	0.379264
0.4-0.8	6.5-30.0	0.0-100.0	0.513611	0.384706
0.8-1.2	6.5-30.0	0.0-100.0	0.460962	0.369793
1.2-1.6	6.5-30.0	0.0-10.0	0.390627	0.293015
1.2-1.6	6.5-30.0	0.0-100.0	0.417679	0.316942
1.2-1.6	6.5-30.0	10.0-20.0	0.435205	0.331333
1.2-1.6	6.5-30.0	20.0-30.0	0.436122	0.332694
1.2-1.6	6.5-30.0	30.0-40.0	0.441637	0.335614
1.2-1.6	6.5-30.0	40.0-50.0	0.446683	0.35603
1.2-1.6	6.5-30.0	50.0-100.0	0.46345	0.355184
1.6-2.0	6.5-30.0	0.0-100.0	0.371483	0.275691
1.6-2.4	3.0-30.0	0.0-100.0	0.19636	0.181047
1.6-2.4	3.0-4.5	0.0-100.0	0.0869145	0.0682478
1.6-2.4	3.0-5.5	0.0-100.0	0.115512	0.0937878
1.6-2.4	3.0-6.5	0.0-10.0	0.124465	0.0930566
1.6-2.4	3.0-6.5	0.0-100.0	0.142437	0.117709
1.6-2.4	3.0-6.5	0.0-20.0	0.127122	0.101939
1.6-2.4	3.0-6.5	10.0-20.0	0.131882	0.118513
1.6-2.4	3.0-6.5	20.0-30.0	0.147823	0.139385
1.6-2.4	3.0-6.5	20.0-40.0	0.169428	0.146356
1.6-2.4	3.0-6.5	30.0-40.0	0.205058	0.158558
1.6-2.4	3.0-6.5	40.0-100.0	0.196089	0.171824
1.6-2.4	3.0-6.5	40.0-50.0	0.188738	0.16391
1.6-2.4	3.0-6.5	50.0-100.0	0.204002	0.180803
1.6-2.4	4.5-5.5	0.0-100.0	0.166069	0.12333
1.6-2.4	5.5-6.5	0.0-100.0	0.247554	0.17112
1.6-2.4	6.5-30.0	0.0-10.0	0.321887	0.230989
1.6-2.4	6.5-30.0	0.0-100.0	0.348836	0.257804
1.6-2.4	6.5-30.0	10.0-20.0	0.350262	0.266188
1.6-2.4	6.5-30.0	20.0-30.0	0.366123	0.277075
1.6-2.4	6.5-30.0	30.0-40.0	0.40203	0.294478
1.6-2.4	6.5-30.0	40.0-50.0	0.405981	0.306547
1.6-2.4	6.5-30.0	50.0-100.0	0.408815	0.308036
2.0-2.4	6.5-30.0	0.0-100.0	0.297133	0.217679
