			Mihee	Mihee
rap	pT	cent	prompt	non-prompt
0.0-0.4	6.5-30.0	0.0-100.0	0.500584	0.528695
0.0-1.2	6.5-30.0	0.0-100.0	0.495027	0.521445
0.0-2.4	10.0-13.0	0.0-100.0	0.559499	0.544718
0.0-2.4	10.0-30.0	0.0-100.0	0.584002	0.574609
0.0-2.4	11.0-13.0	0.0-100.0	0.573768	0.564773
0.0-2.4	13.0-16.0	0.0-100.0	0.62083	0.607022
0.0-2.4	13.0-30.0	0.0-100.0	0.63215	0.616457
0.0-2.4	16.0-30.0	0.0-100.0	0.650418	0.628387
0.0-2.4	6.5-30.0	0.0-100.0	0.420985	0.444648
0.0-2.4	6.5-7.5	0.0-100.0	0.28	0.277528
0.0-2.4	6.5-8.0	0.0-100.0	0.303281	0.297192
0.0-2.4	7.5-8.5	0.0-100.0	0.379309	0.361838
0.0-2.4	8.0-10.0	0.0-100.0	0.448329	0.435212
0.0-2.4	8.5-9.5	0.0-100.0	0.458278	0.442921
0.0-2.4	9.5-11.0	0.0-100.0	0.52729	0.506911
0.4-0.8	6.5-30.0	0.0-100.0	0.529423	0.548271
0.8-1.2	6.5-30.0	0.0-100.0	0.465911	0.49392
1.2-1.6	6.5-30.0	0.0-100.0	0.399719	0.409766
1.6-2.0	6.5-30.0	0.0-100.0	0.372894	0.374315
1.6-2.4	3.0-30.0	0.0-100.0	0.21883	0.251188
1.6-2.4	3.0-4.5	0.0-100.0	0.120701	0.119365
1.6-2.4	3.0-5.5	0.0-100.0	0.258944	0.250754
1.6-2.4	3.0-6.5	0.0-100.0	0.172806	0.179426
1.6-2.4	4.5-5.5	0.0-100.0	0.198839	0.195383
1.6-2.4	5.5-6.5	0.0-100.0	0.258944	0.250754
1.6-2.4	6.5-30.0	0.0-100.0	0.346555	0.347882
2.0-2.4	6.5-30.0	0.0-100.0	0.289131	0.285849
