			Mihee	Mihee
rap	pT	cent	prompt	non-prompt
0.0-0.4	6.5-30.0	0.0-100.0	0.560131	0.42548
0.0-1.2	6.5-30.0	0.0-10.0	0.541451	0.420577
0.0-1.2	6.5-30.0	0.0-100.0	0.565197	0.431988
0.0-1.2	6.5-30.0	10.0-20.0	0.584616	0.432984
0.0-1.2	6.5-30.0	20.0-30.0	0.576359	0.444943
0.0-1.2	6.5-30.0	30.0-40.0	0.588929	0.447854
0.0-1.2	6.5-30.0	40.0-50.0	0.58686	0.448713
0.0-1.2	6.5-30.0	50.0-100.0	0.596256	0.457777
0.0-2.4	10.0-13.0	0.0-100.0	0.633243	0.447222
0.0-2.4	10.0-30.0	0.0-100.0	0.653311	0.457015
0.0-2.4	11.0-13.0	0.0-100.0	0.650595	0.459491
0.0-2.4	13.0-16.0	0.0-100.0	0.690223	0.475178
0.0-2.4	13.0-30.0	0.0-100.0	0.692619	0.472566
0.0-2.4	16.0-30.0	0.0-100.0	0.696612	0.468883
0.0-2.4	6.5-30.0	0.0-10.0	0.477596	0.363201
0.0-2.4	6.5-30.0	0.0-100.0	0.507796	0.384981
0.0-2.4	6.5-30.0	0.0-5.0	0.46419	0.353968
0.0-2.4	6.5-30.0	10.0-15.0	0.517581	0.390925
0.0-2.4	6.5-30.0	10.0-20.0	0.522038	0.39256
0.0-2.4	6.5-30.0	15.0-20.0	0.527574	0.394582
0.0-2.4	6.5-30.0	20.0-25.0	0.527047	0.406747
0.0-2.4	6.5-30.0	20.0-30.0	0.525611	0.401908
0.0-2.4	6.5-30.0	25.0-30.0	0.523569	0.39492
0.0-2.4	6.5-30.0	30.0-35.0	0.552151	0.404878
0.0-2.4	6.5-30.0	30.0-40.0	0.548892	0.411438
0.0-2.4	6.5-30.0	35.0-40.0	0.544611	0.42014
0.0-2.4	6.5-30.0	40.0-45.0	0.545207	0.425797
0.0-2.4	6.5-30.0	40.0-50.0	0.550798	0.422486
0.0-2.4	6.5-30.0	45.0-50.0	0.558787	0.417776
0.0-2.4	6.5-30.0	5.0-10.0	0.499662	0.378962
0.0-2.4	6.5-30.0	50.0-100.0	0.560432	0.426439
0.0-2.4	6.5-30.0	50.0-55.0	0.542518	0.421747
0.0-2.4	6.5-30.0	50.0-60.0	0.550324	0.421948
0.0-2.4	6.5-30.0	55.0-60.0	0.561131	0.422216
0.0-2.4	6.5-30.0	60.0-100.0	0.572989	0.431905
0.0-2.4	6.5-30.0	60.0-70.0	0.574431	0.424111
0.0-2.4	6.5-30.0	70.0-100.0	0.570906	0.443232
0.0-2.4	6.5-7.5	0.0-100.0	0.381937	0.288167
0.0-2.4	6.5-8.0	0.0-100.0	0.398645	0.304552
0.0-2.4	7.5-8.5	0.0-100.0	0.457096	0.341513
0.0-2.4	8.0-10.0	0.0-100.0	0.530726	0.384502
0.0-2.4	8.5-9.5	0.0-100.0	0.54065	0.388736
0.0-2.4	9.5-11.0	0.0-100.0	0.608221	0.43162
0.4-0.8	6.5-30.0	0.0-100.0	0.584623	0.430744
0.8-1.2	6.5-30.0	0.0-100.0	0.554581	0.438133
1.2-1.6	6.5-30.0	0.0-10.0	0.47267	0.349883
1.2-1.6	6.5-30.0	0.0-100.0	0.508263	0.378635
1.2-1.6	6.5-30.0	10.0-20.0	0.531743	0.396124
1.2-1.6	6.5-30.0	20.0-30.0	0.53181	0.395597
1.2-1.6	6.5-30.0	30.0-40.0	0.541453	0.402095
1.2-1.6	6.5-30.0	40.0-50.0	0.544852	0.428298
1.2-1.6	6.5-30.0	50.0-100.0	0.566597	0.425272
1.6-2.0	6.5-30.0	0.0-100.0	0.464466	0.340996
1.6-2.4	3.0-30.0	0.0-100.0	0.270738	0.238529
1.6-2.4	3.0-4.5	0.0-100.0	0.139207	0.107971
1.6-2.4	3.0-5.5	0.0-100.0	0.178599	0.143666
1.6-2.4	3.0-6.5	0.0-10.0	0.184892	0.136861
1.6-2.4	3.0-6.5	0.0-100.0	0.212922	0.173344
1.6-2.4	3.0-6.5	0.0-20.0	0.189549	0.149866
1.6-2.4	3.0-6.5	10.0-20.0	0.197892	0.174133
1.6-2.4	3.0-6.5	20.0-30.0	0.219979	0.205914
1.6-2.4	3.0-6.5	20.0-40.0	0.254742	0.216391
1.6-2.4	3.0-6.5	30.0-40.0	0.312074	0.234733
1.6-2.4	3.0-6.5	40.0-100.0	0.293144	0.252852
1.6-2.4	3.0-6.5	40.0-50.0	0.281593	0.241429
1.6-2.4	3.0-6.5	50.0-100.0	0.305578	0.265812
1.6-2.4	4.5-5.5	0.0-100.0	0.24824	0.184953
1.6-2.4	5.5-6.5	0.0-100.0	0.346922	0.23961
1.6-2.4	6.5-30.0	0.0-10.0	0.39981	0.284051
1.6-2.4	6.5-30.0	0.0-100.0	0.434222	0.317525
1.6-2.4	6.5-30.0	10.0-20.0	0.435869	0.328481
1.6-2.4	6.5-30.0	20.0-30.0	0.456358	0.341191
1.6-2.4	6.5-30.0	30.0-40.0	0.502522	0.362912
1.6-2.4	6.5-30.0	40.0-50.0	0.507547	0.378215
1.6-2.4	6.5-30.0	50.0-100.0	0.510519	0.379627
2.0-2.4	6.5-30.0	0.0-100.0	0.365175	0.264875
