			Mihee	Mihee
rap	pT	cent	prompt	non-prompt
0.0-0.4	6.5-30.0	0.0-100.0	0.54068	0.563904
0.0-1.2	6.5-30.0	0.0-100.0	0.542421	0.562656
0.0-2.4	10.0-13.0	0.0-100.0	0.608916	0.590271
0.0-2.4	10.0-30.0	0.0-100.0	0.627617	0.612911
0.0-2.4	11.0-13.0	0.0-100.0	0.618235	0.606834
0.0-2.4	13.0-16.0	0.0-100.0	0.656429	0.639533
0.0-2.4	13.0-30.0	0.0-100.0	0.664363	0.644608
0.0-2.4	16.0-30.0	0.0-100.0	0.677166	0.651025
0.0-2.4	6.5-30.0	0.0-100.0	0.486404	0.501581
0.0-2.4	6.5-7.5	0.0-100.0	0.357385	0.352615
0.0-2.4	6.5-8.0	0.0-100.0	0.380287	0.370945
0.0-2.4	7.5-8.5	0.0-100.0	0.453928	0.431593
0.0-2.4	8.0-10.0	0.0-100.0	0.51575	0.49798
0.0-2.4	8.5-9.5	0.0-100.0	0.524877	0.505282
0.0-2.4	9.5-11.0	0.0-100.0	0.584232	0.558977
0.4-0.8	6.5-30.0	0.0-100.0	0.573587	0.586439
0.8-1.2	6.5-30.0	0.0-100.0	0.520909	0.54248
1.2-1.6	6.5-30.0	0.0-100.0	0.468118	0.47023
1.6-2.0	6.5-30.0	0.0-100.0	0.461102	0.457206
1.6-2.4	3.0-30.0	0.0-100.0	0.313132	0.33979
1.6-2.4	3.0-4.5	0.0-100.0	0.214747	0.211237
1.6-2.4	3.0-5.5	0.0-100.0	0.247027	0.247744
1.6-2.4	3.0-6.5	0.0-100.0	0.270492	0.274941
1.6-2.4	4.5-5.5	0.0-100.0	0.301313	0.295697
1.6-2.4	5.5-6.5	0.0-100.0	0.358496	0.346256
1.6-2.4	6.5-30.0	0.0-100.0	0.431467	0.427168
2.0-2.4	6.5-30.0	0.0-100.0	0.366857	0.356674
