			Mihee	Mihee
rap	pT	cent	prompt	non-prompt
0.0-0.4	6.5-30.0	0.0-100.0	0.493849	0.380918
0.0-1.2	6.5-30.0	0.0-10.0	0.476501	0.375327
0.0-1.2	6.5-30.0	0.0-100.0	0.496937	0.385123
0.0-1.2	6.5-30.0	10.0-20.0	0.513364	0.38577
0.0-1.2	6.5-30.0	20.0-30.0	0.506603	0.39603
0.0-1.2	6.5-30.0	30.0-40.0	0.51825	0.398709
0.0-1.2	6.5-30.0	40.0-50.0	0.515516	0.400433
0.0-1.2	6.5-30.0	50.0-100.0	0.523457	0.408277
0.0-2.4	10.0-13.0	0.0-100.0	0.592747	0.418652
0.0-2.4	10.0-30.0	0.0-100.0	0.618993	0.433952
0.0-2.4	11.0-13.0	0.0-100.0	0.614366	0.434082
0.0-2.4	13.0-16.0	0.0-100.0	0.664125	0.457616
0.0-2.4	13.0-30.0	0.0-100.0	0.6704	0.458247
0.0-2.4	16.0-30.0	0.0-100.0	0.68086	0.459136
0.0-2.4	6.5-30.0	0.0-10.0	0.429142	0.328801
0.0-2.4	6.5-30.0	0.0-100.0	0.455911	0.348611
0.0-2.4	6.5-30.0	0.0-5.0	0.416876	0.320869
0.0-2.4	6.5-30.0	10.0-15.0	0.463105	0.353379
0.0-2.4	6.5-30.0	10.0-20.0	0.467596	0.355199
0.0-2.4	6.5-30.0	15.0-20.0	0.473173	0.357451
0.0-2.4	6.5-30.0	20.0-25.0	0.472499	0.368636
0.0-2.4	6.5-30.0	20.0-30.0	0.472157	0.364114
0.0-2.4	6.5-30.0	25.0-30.0	0.471671	0.357583
0.0-2.4	6.5-30.0	30.0-35.0	0.495899	0.367431
0.0-2.4	6.5-30.0	30.0-40.0	0.493033	0.372715
0.0-2.4	6.5-30.0	35.0-40.0	0.489269	0.379725
0.0-2.4	6.5-30.0	40.0-45.0	0.490222	0.386604
0.0-2.4	6.5-30.0	40.0-50.0	0.495347	0.383297
0.0-2.4	6.5-30.0	45.0-50.0	0.502669	0.37859
0.0-2.4	6.5-30.0	5.0-10.0	0.449331	0.342341
0.0-2.4	6.5-30.0	50.0-100.0	0.503845	0.387077
0.0-2.4	6.5-30.0	50.0-55.0	0.488607	0.383184
0.0-2.4	6.5-30.0	50.0-60.0	0.494836	0.382851
0.0-2.4	6.5-30.0	55.0-60.0	0.503459	0.382408
0.0-2.4	6.5-30.0	60.0-100.0	0.515036	0.392221
0.0-2.4	6.5-30.0	60.0-70.0	0.516176	0.385057
0.0-2.4	6.5-30.0	70.0-100.0	0.513389	0.402631
0.0-2.4	6.5-7.5	0.0-100.0	0.324806	0.243941
0.0-2.4	6.5-8.0	0.0-100.0	0.340181	0.258907
0.0-2.4	7.5-8.5	0.0-100.0	0.395943	0.294544
0.0-2.4	8.0-10.0	0.0-100.0	0.472888	0.342493
0.0-2.4	8.5-9.5	0.0-100.0	0.482634	0.347419
0.0-2.4	9.5-11.0	0.0-100.0	0.560125	0.396712
0.4-0.8	6.5-30.0	0.0-100.0	0.516672	0.38624
0.8-1.2	6.5-30.0	0.0-100.0	0.484639	0.387549
1.2-1.6	6.5-30.0	0.0-10.0	0.429678	0.32124
1.2-1.6	6.5-30.0	0.0-100.0	0.46126	0.348369
1.2-1.6	6.5-30.0	10.0-20.0	0.481201	0.3646
1.2-1.6	6.5-30.0	20.0-30.0	0.482366	0.365849
1.2-1.6	6.5-30.0	30.0-40.0	0.491411	0.36931
1.2-1.6	6.5-30.0	40.0-50.0	0.494857	0.394074
1.2-1.6	6.5-30.0	50.0-100.0	0.514998	0.392544
1.6-2.0	6.5-30.0	0.0-100.0	0.424402	0.312028
1.6-2.4	3.0-30.0	0.0-100.0	0.247482	0.21887
1.6-2.4	3.0-4.5	0.0-100.0	0.131158	0.102287
1.6-2.4	3.0-5.5	0.0-100.0	0.307912	0.214605
1.6-2.4	3.0-6.5	0.0-10.0	0.16677	0.12429
1.6-2.4	3.0-6.5	0.0-100.0	0.193528	0.15771
1.6-2.4	3.0-6.5	0.0-20.0	0.171525	0.136548
1.6-2.4	3.0-6.5	10.0-20.0	0.180044	0.159425
1.6-2.4	3.0-6.5	20.0-30.0	0.203037	0.186815
1.6-2.4	3.0-6.5	20.0-40.0	0.232953	0.196015
1.6-2.4	3.0-6.5	30.0-40.0	0.28229	0.212121
1.6-2.4	3.0-6.5	40.0-100.0	0.268897	0.230689
1.6-2.4	3.0-6.5	40.0-50.0	0.259328	0.219244
1.6-2.4	3.0-6.5	50.0-100.0	0.279196	0.243673
1.6-2.4	4.5-5.5	0.0-100.0	0.222694	0.166863
1.6-2.4	5.5-6.5	0.0-100.0	0.307912	0.214605
1.6-2.4	6.5-30.0	0.0-10.0	0.36872	0.262408
1.6-2.4	6.5-30.0	0.0-100.0	0.400049	0.292988
1.6-2.4	6.5-30.0	10.0-20.0	0.400326	0.302077
1.6-2.4	6.5-30.0	20.0-30.0	0.421311	0.314641
1.6-2.4	6.5-30.0	30.0-40.0	0.461721	0.335797
1.6-2.4	6.5-30.0	40.0-50.0	0.469292	0.349616
1.6-2.4	6.5-30.0	50.0-100.0	0.471401	0.351105
2.0-2.4	6.5-30.0	0.0-100.0	0.344451	0.250278
