			Mihee	Mihee
rap	pT	cent	prompt	non-prompt
0.0-0.4	6.5-30.0	0.0-100.0	0.510793	0.536104
0.0-1.2	6.5-30.0	0.0-100.0	0.515521	0.538425
0.0-2.4	10.0-13.0	0.0-100.0	0.588913	0.570775
0.0-2.4	10.0-30.0	0.0-100.0	0.609586	0.596126
0.0-2.4	11.0-13.0	0.0-100.0	0.599854	0.5888
0.0-2.4	13.0-16.0	0.0-100.0	0.640923	0.625066
0.0-2.4	13.0-30.0	0.0-100.0	0.650206	0.631617
0.0-2.4	16.0-30.0	0.0-100.0	0.665186	0.639901
0.0-2.4	6.5-30.0	0.0-100.0	0.462049	0.478978
0.0-2.4	6.5-7.5	0.0-100.0	0.331692	0.326456
0.0-2.4	6.5-8.0	0.0-100.0	0.353914	0.344436
0.0-2.4	7.5-8.5	0.0-100.0	0.425956	0.404299
0.0-2.4	8.0-10.0	0.0-100.0	0.488986	0.472157
0.0-2.4	8.5-9.5	0.0-100.0	0.497901	0.479463
0.0-2.4	9.5-11.0	0.0-100.0	0.561468	0.536754
0.4-0.8	6.5-30.0	0.0-100.0	0.543325	0.558923
0.8-1.2	6.5-30.0	0.0-100.0	0.498612	0.523807
1.2-1.6	6.5-30.0	0.0-100.0	0.442184	0.448148
1.6-2.0	6.5-30.0	0.0-100.0	0.429368	0.425888
1.6-2.4	3.0-30.0	0.0-100.0	0.285076	0.314122
1.6-2.4	3.0-4.5	0.0-100.0	0.18266	0.179964
1.6-2.4	3.0-5.5	0.0-100.0	0.215135	0.216662
1.6-2.4	3.0-6.5	0.0-100.0	0.239659	0.245364
1.6-2.4	4.5-5.5	0.0-100.0	0.269749	0.264865
1.6-2.4	5.5-6.5	0.0-100.0	0.331632	0.320625
1.6-2.4	6.5-30.0	0.0-100.0	0.411118	0.406769
2.0-2.4	6.5-30.0	0.0-100.0	0.371328	0.3619
