			Mihee	Mihee
rap	pT	cent	prompt	non-prompt
0.0-0.4	6.5-30.0	0.0-100.0	0.548249	0.415292
0.0-1.2	6.5-30.0	0.0-10.0	0.52969	0.411766
0.0-1.2	6.5-30.0	0.0-100.0	0.553243	0.422669
0.0-1.2	6.5-30.0	10.0-20.0	0.572567	0.423339
0.0-1.2	6.5-30.0	20.0-30.0	0.563941	0.435222
0.0-1.2	6.5-30.0	30.0-40.0	0.577342	0.437496
0.0-1.2	6.5-30.0	40.0-50.0	0.574909	0.440002
0.0-1.2	6.5-30.0	50.0-100.0	0.583936	0.447431
0.0-2.4	10.0-13.0	0.0-100.0	0.62031	0.437375
0.0-2.4	10.0-30.0	0.0-100.0	0.639949	0.447293
0.0-2.4	11.0-13.0	0.0-100.0	0.637264	0.449644
0.0-2.4	13.0-16.0	0.0-100.0	0.675811	0.465334
0.0-2.4	13.0-30.0	0.0-100.0	0.678412	0.463074
0.0-2.4	16.0-30.0	0.0-100.0	0.682753	0.459881
0.0-2.4	6.5-30.0	0.0-10.0	0.46687	0.355124
0.0-2.4	6.5-30.0	0.0-100.0	0.496458	0.376158
0.0-2.4	6.5-30.0	0.0-5.0	0.453789	0.346304
0.0-2.4	6.5-30.0	10.0-15.0	0.506014	0.381752
0.0-2.4	6.5-30.0	10.0-20.0	0.510435	0.383031
0.0-2.4	6.5-30.0	15.0-20.0	0.515927	0.38461
0.0-2.4	6.5-30.0	20.0-25.0	0.514231	0.397433
0.0-2.4	6.5-30.0	20.0-30.0	0.51321	0.392742
0.0-2.4	6.5-30.0	25.0-30.0	0.511754	0.385965
0.0-2.4	6.5-30.0	30.0-35.0	0.540494	0.396006
0.0-2.4	6.5-30.0	30.0-40.0	0.537593	0.402053
0.0-2.4	6.5-30.0	35.0-40.0	0.533779	0.410057
0.0-2.4	6.5-30.0	40.0-45.0	0.533722	0.41651
0.0-2.4	6.5-30.0	40.0-50.0	0.53888	0.41336
0.0-2.4	6.5-30.0	45.0-50.0	0.546239	0.408874
0.0-2.4	6.5-30.0	5.0-10.0	0.488397	0.370156
0.0-2.4	6.5-30.0	50.0-100.0	0.548458	0.416084
0.0-2.4	6.5-30.0	50.0-55.0	0.530343	0.410733
0.0-2.4	6.5-30.0	50.0-60.0	0.53839	0.41146
0.0-2.4	6.5-30.0	55.0-60.0	0.549552	0.41243
0.0-2.4	6.5-30.0	60.0-100.0	0.560972	0.421719
0.0-2.4	6.5-30.0	60.0-70.0	0.562997	0.414139
0.0-2.4	6.5-30.0	70.0-100.0	0.558055	0.432733
0.0-2.4	6.5-7.5	0.0-100.0	0.372661	0.281125
0.0-2.4	6.5-8.0	0.0-100.0	0.389142	0.297275
0.0-2.4	7.5-8.5	0.0-100.0	0.447153	0.333077
0.0-2.4	8.0-10.0	0.0-100.0	0.51911	0.375359
0.0-2.4	8.5-9.5	0.0-100.0	0.52785	0.379684
0.0-2.4	9.5-11.0	0.0-100.0	0.596061	0.422195
0.4-0.8	6.5-30.0	0.0-100.0	0.572152	0.421718
0.8-1.2	6.5-30.0	0.0-100.0	0.54295	0.429286
1.2-1.6	6.5-30.0	0.0-10.0	0.461627	0.34121
1.2-1.6	6.5-30.0	0.0-100.0	0.496526	0.369282
1.2-1.6	6.5-30.0	10.0-20.0	0.518279	0.386171
1.2-1.6	6.5-30.0	20.0-30.0	0.520506	0.38545
1.2-1.6	6.5-30.0	30.0-40.0	0.53015	0.392976
1.2-1.6	6.5-30.0	40.0-50.0	0.533037	0.419206
1.2-1.6	6.5-30.0	50.0-100.0	0.555856	0.414327
1.6-2.0	6.5-30.0	0.0-100.0	0.453694	0.333554
1.6-2.4	3.0-30.0	0.0-100.0	0.263987	0.232663
1.6-2.4	3.0-4.5	0.0-100.0	0.135385	0.105795
1.6-2.4	3.0-5.5	0.0-100.0	0.173914	0.140014
1.6-2.4	3.0-6.5	0.0-10.0	0.180122	0.133327
1.6-2.4	3.0-6.5	0.0-100.0	0.207491	0.416084
1.6-2.4	3.0-6.5	0.0-20.0	0.184786	0.146165
1.6-2.4	3.0-6.5	10.0-20.0	0.193157	0.170203
1.6-2.4	3.0-6.5	20.0-30.0	0.213349	0.200426
1.6-2.4	3.0-6.5	20.0-40.0	0.247843	0.210829
1.6-2.4	3.0-6.5	30.0-40.0	0.305208	0.229091
1.6-2.4	3.0-6.5	40.0-100.0	0.285997	0.245469
1.6-2.4	3.0-6.5	40.0-50.0	0.274675	0.234481
1.6-2.4	3.0-6.5	50.0-100.0	0.298189	0.257924
1.6-2.4	4.5-5.5	0.0-100.0	0.242267	0.179139
1.6-2.4	5.5-6.5	0.0-100.0	0.339064	0.233611
1.6-2.4	6.5-30.0	0.0-10.0	0.390692	0.277669
1.6-2.4	6.5-30.0	0.0-100.0	0.424093	0.309989
1.6-2.4	6.5-30.0	10.0-20.0	0.426166	0.319705
1.6-2.4	6.5-30.0	20.0-30.0	0.443717	0.33359
1.6-2.4	6.5-30.0	30.0-40.0	0.491692	0.354775
1.6-2.4	6.5-30.0	40.0-50.0	0.495738	0.368684
1.6-2.4	6.5-30.0	50.0-100.0	0.498346	0.369821
2.0-2.4	6.5-30.0	0.0-100.0	0.356544	0.257462
